       6    6134    3922    3922

     EOS file :  StrangeEOS_03_140_100_Acc-Fe.dat                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.351572E-01   8.937624E+14    1.50757E+35   0.000000000E+00  -5.558476E-01   0.000000000E+00
     1      10.000000   5.351568E-01   8.937615E+14    1.50757E+35   1.882242092E-09  -5.558474E-01   1.887477532E-09
     2      10.033333   5.351568E-01   8.937615E+14    1.50757E+35   1.901127306E-09  -5.558474E-01   1.906415278E-09
     3      10.066778   5.351568E-01   8.937615E+14    1.50757E+35   1.920202003E-09  -5.558474E-01   1.925543033E-09
     4      10.100334   5.351567E-01   8.937615E+14    1.50757E+35   1.939468082E-09  -5.558474E-01   1.944862703E-09
     5      10.134001   5.351567E-01   8.937615E+14    1.50757E+35   1.958927466E-09  -5.558474E-01   1.964376215E-09
     6      10.167781   5.351567E-01   8.937615E+14    1.50757E+35   1.978582092E-09  -5.558474E-01   1.984085513E-09
     7      10.201674   5.351567E-01   8.937615E+14    1.50757E+35   1.998433920E-09  -5.558474E-01   2.003992561E-09
     8      10.235679   5.351567E-01   8.937615E+14    1.50757E+35   2.018484928E-09  -5.558474E-01   2.024099344E-09
     9      10.269798   5.351567E-01   8.937615E+14    1.50757E+35   2.038737115E-09  -5.558474E-01   2.044407865E-09
    10      10.304031   5.351567E-01   8.937615E+14    1.50757E+35   2.059192500E-09  -5.558474E-01   2.064920149E-09
    11      10.338378   5.351567E-01   8.937615E+14    1.50757E+35   2.079853120E-09  -5.558474E-01   2.085638240E-09
    12      10.372839   5.351567E-01   8.937615E+14    1.50757E+35   2.100721036E-09  -5.558474E-01   2.106564203E-09
    13      10.407415   5.351567E-01   8.937615E+14    1.50757E+35   2.121798328E-09  -5.558474E-01   2.127700124E-09
    14      10.442106   5.351567E-01   8.937615E+14    1.50757E+35   2.143087095E-09  -5.558474E-01   2.149048109E-09
    15      10.476913   5.351567E-01   8.937615E+14    1.50757E+35   2.164589459E-09  -5.558474E-01   2.170610286E-09
    16      10.511836   5.351567E-01   8.937615E+14    1.50757E+35   2.186307565E-09  -5.558474E-01   2.192388804E-09
    17      10.546876   5.351567E-01   8.937615E+14    1.50757E+35   2.208243576E-09  -5.558474E-01   2.214385833E-09
    18      10.582032   5.351567E-01   8.937615E+14    1.50757E+35   2.230399679E-09  -5.558473E-01   2.236603567E-09
    19      10.617305   5.351567E-01   8.937614E+14    1.50757E+35   2.252778082E-09  -5.558473E-01   2.259044219E-09
    20      10.652696   5.351567E-01   8.937614E+14    1.50757E+35   2.275381015E-09  -5.558473E-01   2.281710026E-09
    21      10.688205   5.351567E-01   8.937614E+14    1.50757E+35   2.298210731E-09  -5.558473E-01   2.304603247E-09
    22      10.723833   5.351567E-01   8.937614E+14    1.50757E+35   2.321269506E-09  -5.558473E-01   2.327726164E-09
    23      10.759579   5.351567E-01   8.937614E+14    1.50757E+35   2.344559638E-09  -5.558473E-01   2.351081081E-09
    24      10.795444   5.351567E-01   8.937614E+14    1.50757E+35   2.368083448E-09  -5.558473E-01   2.374670327E-09
    25      10.831429   5.351567E-01   8.937614E+14    1.50757E+35   2.391843281E-09  -5.558473E-01   2.398496252E-09
    26      10.867533   5.351567E-01   8.937614E+14    1.50757E+35   2.415841504E-09  -5.558473E-01   2.422561230E-09
    27      10.903759   5.351567E-01   8.937614E+14    1.50757E+35   2.440080510E-09  -5.558473E-01   2.446867662E-09
    28      10.940104   5.351567E-01   8.937614E+14    1.50757E+35   2.464562715E-09  -5.558473E-01   2.471417968E-09
    29      10.976571   5.351567E-01   8.937614E+14    1.50757E+35   2.489290558E-09  -5.558473E-01   2.496214597E-09
    30      11.013160   5.351567E-01   8.937614E+14    1.50757E+35   2.514266504E-09  -5.558473E-01   2.521260018E-09
    31      11.049870   5.351567E-01   8.937614E+14    1.50757E+35   2.539493043E-09  -5.558473E-01   2.546556730E-09
    32      11.086703   5.351567E-01   8.937614E+14    1.50757E+35   2.564972688E-09  -5.558473E-01   2.572107252E-09
    33      11.123659   5.351567E-01   8.937614E+14    1.50757E+35   2.590707980E-09  -5.558473E-01   2.597914132E-09
    34      11.160738   5.351567E-01   8.937614E+14    1.50757E+35   2.616701483E-09  -5.558473E-01   2.623979941E-09
    35      11.197940   5.351567E-01   8.937614E+14    1.50757E+35   2.642955788E-09  -5.558473E-01   2.650307277E-09
    36      11.235267   5.351567E-01   8.937613E+14    1.50757E+35   2.669473511E-09  -5.558473E-01   2.676898766E-09
    37      11.272717   5.351567E-01   8.937613E+14    1.50757E+35   2.696257296E-09  -5.558473E-01   2.703757056E-09
    38      11.310293   5.351567E-01   8.937613E+14    1.50757E+35   2.723309812E-09  -5.558473E-01   2.730884825E-09
    39      11.347994   5.351567E-01   8.937613E+14    1.50757E+35   2.750633756E-09  -5.558473E-01   2.758284776E-09
    40      11.385821   5.351566E-01   8.937613E+14    1.50757E+35   2.778231850E-09  -5.558473E-01   2.785959641E-09
    41      11.423773   5.351566E-01   8.937613E+14    1.50757E+35   2.806106846E-09  -5.558473E-01   2.813912177E-09
    42      11.461853   5.351566E-01   8.937613E+14    1.50757E+35   2.834261521E-09  -5.558473E-01   2.842145171E-09
    43      11.500059   5.351566E-01   8.937613E+14    1.50757E+35   2.862698682E-09  -5.558473E-01   2.870661437E-09
    44      11.538392   5.351566E-01   8.937613E+14    1.50757E+35   2.891421163E-09  -5.558473E-01   2.899463817E-09
    45      11.576853   5.351566E-01   8.937613E+14    1.50757E+35   2.920431827E-09  -5.558473E-01   2.928555181E-09
    46      11.615443   5.351566E-01   8.937613E+14    1.50757E+35   2.949733564E-09  -5.558473E-01   2.957938428E-09
    47      11.654161   5.351566E-01   8.937613E+14    1.50757E+35   2.979329297E-09  -5.558473E-01   2.987616489E-09
    48      11.693008   5.351566E-01   8.937613E+14    1.50757E+35   3.009221973E-09  -5.558473E-01   3.017592320E-09
    49      11.731985   5.351566E-01   8.937613E+14    1.50757E+35   3.039414574E-09  -5.558473E-01   3.047868909E-09
    50      11.771091   5.351566E-01   8.937613E+14    1.50757E+35   3.069910107E-09  -5.558473E-01   3.078449273E-09
    51      11.810328   5.351566E-01   8.937613E+14    1.50757E+35   3.100711613E-09  -5.558473E-01   3.109336462E-09
    52      11.849696   5.351566E-01   8.937612E+14    1.50757E+35   3.131822160E-09  -5.558473E-01   3.140533552E-09
    53      11.889195   5.351566E-01   8.937612E+14    1.50757E+35   3.163244851E-09  -5.558473E-01   3.172043654E-09
    54      11.928826   5.351566E-01   8.937612E+14    1.50757E+35   3.194982817E-09  -5.558473E-01   3.203869907E-09
    55      11.968588   5.351566E-01   8.937612E+14    1.50757E+35   3.227039220E-09  -5.558473E-01   3.236015485E-09
    56      12.008484   5.351566E-01   8.937612E+14    1.50757E+35   3.259417257E-09  -5.558473E-01   3.268483591E-09
    57      12.048512   5.351566E-01   8.937612E+14    1.50757E+35   3.292120154E-09  -5.558473E-01   3.301277460E-09
    58      12.088674   5.351566E-01   8.937612E+14    1.50757E+35   3.325151170E-09  -5.558473E-01   3.334400362E-09
    59      12.128969   5.351566E-01   8.937612E+14    1.50757E+35   3.358513598E-09  -5.558473E-01   3.367855598E-09
    60      12.169399   5.351566E-01   8.937612E+14    1.50757E+35   3.392210763E-09  -5.558473E-01   3.401646502E-09
    61      12.209964   5.351566E-01   8.937612E+14    1.50757E+35   3.426246023E-09  -5.558473E-01   3.435776441E-09
    62      12.250663   5.351566E-01   8.937612E+14    1.50757E+35   3.460622771E-09  -5.558473E-01   3.470248819E-09
    63      12.291499   5.351566E-01   8.937612E+14    1.50757E+35   3.495344433E-09  -5.558473E-01   3.505067070E-09
    64      12.332470   5.351566E-01   8.937612E+14    1.50757E+35   3.530414469E-09  -5.558473E-01   3.540234665E-09
    65      12.373579   5.351566E-01   8.937612E+14    1.50757E+35   3.565836375E-09  -5.558473E-01   3.575755108E-09
    66      12.414824   5.351566E-01   8.937611E+14    1.50757E+35   3.601613681E-09  -5.558473E-01   3.611631941E-09
    67      12.456207   5.351566E-01   8.937611E+14    1.50757E+35   3.637749954E-09  -5.558473E-01   3.647868738E-09
    68      12.497727   5.351566E-01   8.937611E+14    1.50757E+35   3.674248794E-09  -5.558473E-01   3.684469112E-09
    69      12.539386   5.351565E-01   8.937611E+14    1.50757E+35   3.711113840E-09  -5.558473E-01   3.721436711E-09
    70      12.581184   5.351565E-01   8.937611E+14    1.50757E+35   3.748348765E-09  -5.558472E-01   3.758775218E-09
    71      12.623121   5.351565E-01   8.937611E+14    1.50757E+35   3.785957281E-09  -5.558472E-01   3.796488356E-09
    72      12.665198   5.351565E-01   8.937611E+14    1.50757E+35   3.823943137E-09  -5.558472E-01   3.834579882E-09
    73      12.707416   5.351565E-01   8.937611E+14    1.50757E+35   3.862310117E-09  -5.558472E-01   3.873053595E-09
    74      12.749774   5.351565E-01   8.937611E+14    1.50757E+35   3.901062047E-09  -5.558472E-01   3.911913327E-09
    75      12.792273   5.351565E-01   8.937611E+14    1.50757E+35   3.940202789E-09  -5.558472E-01   3.951162953E-09
    76      12.834914   5.351565E-01   8.937611E+14    1.50757E+35   3.979736243E-09  -5.558472E-01   3.990806384E-09
    77      12.877697   5.351565E-01   8.937611E+14    1.50757E+35   4.019666350E-09  -5.558472E-01   4.030847571E-09
    78      12.920622   5.351565E-01   8.937611E+14    1.50757E+35   4.059997089E-09  -5.558472E-01   4.071290506E-09
    79      12.963691   5.351565E-01   8.937610E+14    1.50757E+35   4.100732480E-09  -5.558472E-01   4.112139219E-09
    80      13.006903   5.351565E-01   8.937610E+14    1.50757E+35   4.141876584E-09  -5.558472E-01   4.153397781E-09
    81      13.050260   5.351565E-01   8.937610E+14    1.50757E+35   4.183433501E-09  -5.558472E-01   4.195070304E-09
    82      13.093760   5.351565E-01   8.937610E+14    1.50757E+35   4.225407372E-09  -5.558472E-01   4.237160943E-09
